Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter;lat;lng
3114;Våler;Kirkebygden;Østfold;Kirkebygden, Våler, Østfold;59.4902451;10.8736692
3218;Ås;Ås;Akershus;Ås, Ås, Akershus;59.6660615;10.7925637
4034;Tokke;Dalen;Telemark;Dalen, Tokke, Telemark;59.4450745;8.0053846
4020;Midt-Telemark;Bø;Telemark;Bø, Midt-Telemark, Telemark;59.4142899;9.0619757
3103;Moss;Moss;Østfold;Moss, Moss, Østfold;59.4340914;10.6583833
1106;Haugesund;Haugesund;Rogaland;Haugesund, Haugesund, Rogaland;59.41358100000001;5.267986899999999
3120;Rakkestad;Rakkestad;Østfold;Rakkestad, Rakkestad, Østfold;59.42554639999999;11.3430389
3901;Horten;Horten;Vestfold;Horten, Horten, Vestfold;59.417084;10.4832128
1146;Tysvær;Aksdal;Rogaland;Aksdal, Tysvær, Rogaland;59.424449;5.449296299999999
4028;Kviteseid;Kviteseid;Telemark;Kviteseid, Kviteseid, Telemark;59.4021367;8.4923152
3112;Råde;Karlshus;Østfold;Karlshus, Råde, Østfold;59.3519742;10.8643231
1151;Utsira;Utsira;Rogaland;Utsira, Utsira, Rogaland;59.30812889999999;4.8820629
3905;Tønsberg;Tønsberg;Vestfold;Tønsberg, Tønsberg, Vestfold;59.26756990000001;10.4075608
1149;Karmøy;Kopervik;Rogaland;Kopervik, Karmøy, Rogaland;59.2837067;5.306873899999999
4018;Nome;Ulefoss;Telemark;Ulefoss, Nome, Telemark;59.28382300000001;9.264595
4010;Siljan;Siljan;Telemark;Siljan, Siljan, Telemark;59.2875807;9.7086395
3105;Sarpsborg;Sarpsborg;Østfold;Sarpsborg, Sarpsborg, Østfold;59.28407290000001;11.1094028
3124;Aremark;Fossby;Østfold;Fossby, Aremark, Østfold;59.2221825;11.6992843
3107;Fredrikstad;Fredrikstad;Østfold;Fredrikstad, Fredrikstad, Østfold;59.22053689999999;10.9347012
1145;Bokn;Føresvik;Rogaland;Føresvik, Bokn, Rogaland;59.2288176;5.4411258
1133;Hjelmeland;Hjelmelandsvågen;Rogaland;Hjelmelandsvågen, Hjelmeland, Rogaland;59.2329017;6.1722997
4003;Skien;Skien;Telemark;Skien, Skien, Telemark;59.2089131;9.605752599999999
3911;Færder;Borgheim;Vestfold;Borgheim, Færder, Vestfold;59.22627699999999;10.4074325
4221;Valle;Valle;Agder;Valle, Valle, Agder;59.2130095;7.536060099999999
3907;Sandefjord;Sandefjord;Vestfold;Sandefjord, Sandefjord, Vestfold;59.1313095;10.2165948
4032;Fyresdal;Folkestadbyen;Telemark;Folkestadbyen, Fyresdal, Telemark;59.1842514;8.084625299999999
3101;Halden;Halden;Østfold;Halden, Halden, Østfold;59.13299639999999;11.3874569
4001;Porsgrunn;Porsgrunn;Telemark;Porsgrunn, Porsgrunn, Telemark;59.1385567;9.6555147
4016;Drangedal;Prestestranda;Telemark;Prestestranda, Drangedal, Telemark;59.09771300000001;9.058708800000002
3909;Larvik;Larvik;Vestfold;Larvik, Larvik, Vestfold;59.0538363;10.0295463
3110;Hvaler;Skjærhalden;Østfold;Skjærhalden, Hvaler, Østfold;59.0252588;11.0368498
1144;Kvitsøy;Ydstebøhavn;Rogaland;Ydstebøhavn, Kvitsøy, Rogaland;59.06222089999999;5.402396
4030;Nissedal;Treungen;Telemark;Treungen, Nissedal, Telemark;59.02064710000001;8.520207
1130;Strand;Jørpeland;Rogaland;Jørpeland, Strand, Rogaland;59.0241523;6.043277
4012;Bamble;Langesund;Telemark;Langesund, Bamble, Telemark;59.0024183;9.7455904
1127;Randaberg;Randaberg;Rogaland;Randaberg, Randaberg, Rogaland;58.99967460000001;5.6187068
1103;Stavanger;Stavanger;Rogaland;Stavanger, Stavanger, Rogaland;58.9699756;5.7331073
1124;Sola;Solakrossen;Rogaland;Solakrossen, Sola, Rogaland;58.8887958;5.6530475
4014;Kragerø;Kragerø;Telemark;Kragerø, Kragerø, Telemark;58.8694218;9.4148661
1108;Sandnes;Sandnes;Rogaland;Sandnes, Sandnes, Rogaland;58.8532585;5.7329455
4211;Gjerstad;Gjerstad;Agder;Gjerstad, Gjerstad, Agder;58.8783074;9.0191599
4228;Sirdal;Tonstad;Agder;Tonstad, Sirdal, Agder;58.6642215;6.7165165
4220;Bygland;Bygland;Agder;Bygland, Bygland, Agder;58.83146279999999;7.798642900000001
1122;Gjesdal;Ålgård;Rogaland;Ålgård, Gjesdal, Rogaland;58.7650356;5.8542288
4217;Åmli;Åmli;Agder;Åmli, Åmli, Agder;58.7684458;8.4865146
1120;Klepp;Kleppe;Rogaland;Kleppe, Klepp, Rogaland;58.77263099999999;5.632494599999999
4212;Vegårshei;Myra;Agder;Myra, Vegårshei, Agder;58.7492278;8.8623911
4224;Åseral;Kyrkjebygda;Agder;Kyrkjebygda, Åseral, Agder;58.61523450000001;7.4139142
1121;Time;Bryne;Rogaland;Bryne, Time, Rogaland;58.73579299999999;5.6477347
4201;Risør;Risør;Agder;Risør, Risør, Agder;58.7203045;9.2327429
1114;Bjerkreim;Vikeså;Rogaland;Vikeså, Bjerkreim, Rogaland;58.6375907;6.0913457
4213;Tvedestrand;Tvedestrand;Agder;Tvedestrand, Tvedestrand, Agder;58.6222843;8.9313989
1119;Hå;Varhaug;Rogaland;Varhaug, Hå, Rogaland;58.61470999999999;5.6457294
4219;Evje og Hornnes;Evje;Agder;Evje, Evje og Hornnes, Agder;58.5819568;7.7942706
4214;Froland;Blakstad;Agder;Blakstad, Froland, Agder;58.5053624;8.642882600000002
1112;Lund;Moi;Rogaland;Moi, Lund, Rogaland;58.46091560000001;6.5443761
4203;Arendal;Arendal;Agder;Arendal, Arendal, Agder;58.4617568;8.7724499
1101;Eigersund;Egersund;Rogaland;Egersund, Eigersund, Rogaland;58.4514216;5.9998032
4218;Iveland;Birketveit;Agder;Birketveit, Iveland, Agder;58.46246379999999;7.912011700000001
4226;Hægebostad;Tingvatn;Agder;Tingvatn, Hægebostad, Agder;58.39607700000001;7.227532500000001
4216;Birkenes;Birkeland;Agder;Birkeland, Birkenes, Agder;58.3281028;8.2322109
4227;Kvinesdal;Liknes;Agder;Liknes, Kvinesdal, Agder;58.312111;6.9620399
1111;Sokndal;Hauge;Rogaland;Hauge, Sokndal, Rogaland;58.3419695;6.2850375
4202;Grimstad;Grimstad;Agder;Grimstad, Grimstad, Agder;58.3421402;8.594457000000002
4207;Flekkefjord;Flekkefjord;Agder;Flekkefjord, Flekkefjord, Agder;58.2971823;6.6599809
4223;Vennesla;Vennesla;Agder;Vennesla, Vennesla, Agder;58.2682449;7.9736069
4215;Lillesand;Lillesand;Agder;Lillesand, Lillesand, Agder;58.252637;8.3721451
4225;Lyngdal;Alleen;Agder;Alleen, Lyngdal, Agder;58.1490409;7.1443393
4204;Kristiansand;Kristiansand;Agder;Kristiansand, Kristiansand, Agder;58.15991189999999;8.0182064
4206;Farsund;Farsund;Agder;Farsund, Farsund, Agder;58.09492689999999;6.8050196
4205;Lindesnes;Mandal;Agder;Mandal, Lindesnes, Agder;58.0276808;7.4533303
